*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=launch computer v1
*Date=14:57:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;28.513;-64.1593;0;Bottom;Via735
2;;;119.963;-38.7207;0;Bottom;Via647
3;;;145.451;-110;0;Top;blkr4
4;;;26.7588;-82.0054;0;Bottom;Copper Fill34
5;;;84.4029;-36.1807;0;Bottom;Via641
6;;;76.7731;-107.339;0;Bottom;Via713
7;;;66.586;-24.4489;0;Bottom;Copper Fill48
8;;THT;14.8961;-16.4074;-90;Bottom;J61
9;;THT;118.683;-99.7193;90;Bottom;J67
10;;;112.333;-8.27928;0;Bottom;Via653
11;;THT;98.3631;-15.8993;90;Bottom;J45
12;;;20.893;-36.2194;0;Bottom;Via729
13;;;5.6261;-16.8543;0;Bottom;Copper Fill58
14;;;80.5687;-80.71;0;Bottom;Copper Fill27
15;;THT;98.373;-23.4806;90;Bottom;J14
16;;;81.8531;-107.339;0;Bottom;Via711
17;;;69.1532;-38.7592;0;Bottom;Via639
18;;;43.7641;-38.7237;0;Bottom;Copper Fill3
19;;;65.6843;-23.5726;0;Bottom;Copper Fill50
20;;;19.685;-79.5416;0;Bottom;Copper Fill26
21;;THT;83.133;-23.4806;90;Bottom;J20
22;;;66.7481;-57.7986;0;Top;blkr6
23;;;66.9661;-96.4285;-90;Bottom;TXT2
24;;;17.0688;-45.1499;0;Bottom;Copper Fill31
25;;;69.1532;-76.8593;0;Bottom;Via276
26;;;99.633;-36.2194;0;Bottom;Via714
27;;;119.405;-38.7618;0;Bottom;Copper Fill7
28;;;32.3231;-60.3493;-90;Bottom;MBED
29;;THT;118.683;-15.8993;90;Bottom;J65
30;;;87.5309;-15.7546;0;Bottom;TXT1
31;;;102.173;-8.27928;0;Bottom;Via657
32;;;5.65312;-76.8593;0;Bottom;Via731
33;;;7.3152;-48.9726;0;Bottom;Copper Fill61
34;;;111.785;-38.7618;0;Bottom;Copper Fill41
