*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=launch computer v1
*Date=12:26:42
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;70.4087;-81.853;0;Bottom;Copper Fill1
2;;;111.785;-38.7618;0;Bottom;Copper Fill41
3;;;97.0612;-107.455;0;Bottom;Via698
4;;;4.48687;-4.08751;0;Top;blkr2
5;;;102.173;-8.27928;0;Bottom;Via657
6;;;74.9808;-57.5198;0;Bottom;Copper Fill30
7;;;74.9808;-57.5198;0;Bottom;Copper Fill5
8;;;65.6843;-23.5726;0;Bottom;Copper Fill17
9;;THT;113.603;-99.7193;90;Bottom;J68
10;;;13.2461;-42.2543;0;Bottom;Copper Fill14
11;;;65.6589;-79.4527;0;Bottom;Copper Fill12
12;;;14.4319;-100.516;0;Top;blkr1
13;;;51.3731;-8.27928;0;Bottom;Via722
14;;;69.1532;-38.7592;0;Bottom;Via639
15;;;92.0241;-54.0654;0;Bottom;Copper Fill2
16;;;84.4029;-36.1807;0;Bottom;Via641
17;;THT;128.853;-92.0606;90;Bottom;J13
18;;;145.29;-4.92289;0;Bottom;blkr9
19;;;99.8808;-95.1873;-90;Bottom;TXT2
20;;;14.8284;-10.373;0;Bottom;TXT1
21;;;27.4827;-82.7547;0;Bottom;Copper Fill35
22;;;17.0688;-45.1499;0;Bottom;Copper Fill31
23;;;117.413;-107.339;0;Bottom;Via710
24;;;102.141;-107.455;0;Bottom;Via691
25;;;112.333;-8.27928;0;Bottom;Via653
26;;;97.2454;-95.1112;-90;Bottom;TXT2
27;;THT;118.683;-99.7193;90;Bottom;J67
28;;;7.46466;-12.314;0;Bottom;TXT3
29;;;15.1535;-12.3713;0;Bottom;TXT3
30;;;36.106;-7.25312;0;Bottom;Copper Fill20
31;;;7.43524;-10.3004;0;Bottom;TXT1
32;;;59.0541;-2.34282;0;Bottom;TXT1
33;;;46.266;-7.25312;0;Bottom;Copper Fill19
34;;THT;83.133;-23.4806;90;Bottom;J20
35;;;69.1532;-36.2192;0;Bottom;Via638
36;;;26.2824;-2.10942;0;Bottom;TXT1
37;;;87.5309;-15.7546;0;Bottom;TXT1
38;;;66.6106;-57.7071;0;Bottom;Hole2
39;;;5.65312;-53.9994;0;Bottom;Via736
40;;;4.09442;-4.14293;0;Bottom;blkr8
41;;;80.5687;-80.71;0;Bottom;Copper Fill27
42;;;112.527;-95.102;-90;Bottom;TXT2
43;;;61.5331;-8.27928;0;Bottom;Via721
44;;;132.653;-107.339;0;Bottom;Via709
45;;;140.579;-57.7325;0;Bottom;Hole1
46;;;86.9012;-107.455;0;Bottom;Via687
47;;THT;103.443;-99.7193;90;Bottom;J55
48;;THT;108.523;-99.7193;90;Bottom;J66
49;;THT;93.2831;-99.7193;90;Bottom;J43
50;;THT;98.3631;-99.7193;90;Bottom;J54
51;;THT;118.683;-15.8993;90;Bottom;J65
52;;THT;67.893;-23.4806;90;Bottom;J22
53;;THT;93.2831;-15.8993;90;Bottom;J36
54;;;69.1532;-76.8593;0;Bottom;Via276
55;;;28.513;-64.1593;0;Bottom;Via735
56;;;14.506;-100.279;0;Bottom;blkr7
57;;;58.993;-26.0594;0;Bottom;Via718
58;;;115.096;-95.0928;-90;Bottom;TXT2
59;;;66.6132;-76.8593;0;Bottom;Via275
60;;THT;113.613;-92.0606;90;Bottom;J21
61;;;112.301;-107.455;0;Bottom;Via686
62;;;127.573;-107.339;0;Bottom;Via708
63;;;112.255;-38.2919;0;Bottom;Copper Fill40
64;;;97.4387;-20.4448;-90;Bottom;TXT2
65;;;66.7481;-57.7986;0;Top;blkr6
66;;;20.8787;-45.1499;0;Bottom;Copper Fill32
67;;;59.7038;-78.3147;90;Bottom;TXT1
68;220;THT;46.2931;-31.1393;0;Bottom;R1
69;;;91.9812;-107.455;0;Bottom;Via683
70;;THT;98.3631;-15.8993;90;Bottom;J45
71;;THT;113.603;-15.8993;90;Bottom;J64
72;;;119.875;-39.2571;0;Bottom;Copper Fill36
73;;;59.6324;-37.5069;90;Bottom;TXT1
74;;THT;103.443;-15.8993;90;Bottom;J35
75;220;THT;46.2931;-28.5993;0;Bottom;R2
